Year,Age Group,Race_ Ethnicity,State,Contraceptive Type,Eligible,Contraceptive_Use ,RoCU
2014,15-20 year olds,Hispanic,Alabama, Most/Moderately Effective,207606,97402,46.92
2014,15-20 year olds,White,Alaska,Most/Moderately Effective,60043,26771,44.59
2014,15-20 year olds,Black,Arizona,Most/Moderately Effective,31795,13348,41.98
2014,15-20 year olds,Asian,Arkansas, Most/Moderately Effective,82045,24495,29.86
2014,15-20 year olds,Alaskan Native / American Indian,California,Most/Moderately Effective,2902,1108,38.18
2014,15-20 year olds,Other Asian / Pacific Islander,Colorado,Most/Moderately Effective,139084,43198,31.06
2014,15-20 year olds,Hispanic,Connecticut,LARC,207606,21139,10.18
2014,15-20 year olds,White,Delaware,LARC,60043,5892,9.81
2014,15-20 year olds,Black,Florida,LARC,31795,2907,9.14
2014,15-20 year olds,Asian,Georgia,LARC,82045,5614,6.84
2014,15-20 year olds,Alaskan Native / American Indian,Hawaii,LARC,2902,249,8.58
2014,15-20 year olds,Other Asian / Pacific Islander,Idaho,LARC,139084,10091,7.26
2014,15-20 year olds,Hispanic,Illinois, Most/Moderately Effective,207606,97402,9.09
2014,15-20 year olds,White,Indiana,Most/Moderately Effective,60043,26771,12.33
2014,15-20 year olds,Black,Iowa,Most/Moderately Effective,31795,13348,31.32
2014,15-20 year olds,Asian,Kansas, Most/Moderately Effective,82045,24495,2.03
2014,15-20 year olds,Alaskan Native / American Indian,Kentucky,Most/Moderately Effective,2902,1108,20.2
2014,15-20 year olds,Other Asian / Pacific Islander,Louisiana,Most/Moderately Effective,139084,43198,5.05
2014,15-20 year olds,Hispanic,Maine,LARC,207606,21139,8.65
2014,15-20 year olds,White,Maryland,LARC,60043,5892,10.06
2014,15-20 year olds,Black,Massachusetts,LARC,31795,2907,9.81
2014,15-20 year olds,Asian,Michigan,LARC,82045,5614,1.01
2014,15-20 year olds,Alaskan Native / American Indian,Minnesota,LARC,2902,249,16.07
2014,15-20 year olds,Other Asian / Pacific Islander,Mississippi,LARC,139084,10091,18.09
2014,15-20 year olds,Hispanic,Missouri, Most/Moderately Effective,207606,97402,7.07
2014,15-20 year olds,White,Montana,Most/Moderately Effective,60043,26771,11.11
2014,15-20 year olds,Black,Nebraska,Most/Moderately Effective,31795,13348,10.10
2014,15-20 year olds,Asian,Nevada, Most/Moderately Effective,82045,24495,8.08
2014,15-20 year olds,Alaskan Native / American Indian,New Hampshire,Most/Moderately Effective,2902,1108,16.07
2014,15-20 year olds,Other Asian / Pacific Islander,New Jersey,Most/Moderately Effective,139084,43198,4.03
2014,15-20 year olds,Hispanic,New Mexico,LARC,207606,21139,30.05
2014,15-20 year olds,White,New York,LARC,60043,5892,5.05
2014,15-20 year olds,Black,North Carolina,LARC,31795,2907,3.09
2014,15-20 year olds,Asian,North Dakota,LARC,82045,5614,3.03
2014,15-20 year olds,Alaskan Native / American Indian,Ohio,LARC,2902,249,16.18
2014,15-20 year olds,Other Asian / Pacific Islander,Oklahoma,LARC,139084,10091,10.05
2014,15-20 year olds,Hispanic,Oregon, Most/Moderately Effective,207606,97402,19.05
2014,15-20 year olds,White,Pennsylvania,Most/Moderately Effective,60043,26771,31.02
2014,15-20 year olds,Black,Rhode Island,Most/Moderately Effective,31795,13348,10.12
2014,15-20 year olds,Asian,South Carolina, Most/Moderately Effective,82045,24495,14.08
2014,15-20 year olds,Alaskan Native / American Indian,South Dakota,Most/Moderately Effective,2902,1108,16.12
2014,15-20 year olds,Other Asian / Pacific Islander,Tennessee,Most/Moderately Effective,139084,43198,11.14
2014,15-20 year olds,Hispanic,Texas,LARC,207606,21139,5.01
2014,15-20 year olds,White,Utah,LARC,60043,5892,2.34
2014,15-20 year olds,Black,Vermont,LARC,31795,2907,32.15
2014,15-20 year olds,Asian,Virginia,LARC,82045,5614,36.97
2014,15-20 year olds,Alaskan Native / American Indian,Washington,LARC,2902,249,38.98
2014,15-20 year olds,Other Asian / Pacific Islander,West Virginia,LARC,139084,10091,36.78
2014,15-20 year olds,Hispanic,Wisconsin, Most/Moderately Effective,207606,10091,26.56
2014,15-20 year olds,White,Wyoming,Most/Moderately Effective,60043,97402,18.48
2015,15-20 year olds,Hispanic,Alabama,Most/Moderately Effective,241722,33732,56.89
2015,15-20 year olds,White,Alaska, Most/Moderately Effective,70749,21034,60.12
2015,15-20 year olds,Black,Arizona,Most/Moderately Effective,33494,7609,57.69
2015,15-20 year olds,Asian,Arkansas, Most/Moderately Effective,74390,32695,35.76
2015,15-20 year olds,Alaskan Native / American Indian,California, Most/Moderately Effective,2813,1071,48.67
2015,15-20 year olds,Other Asian / Pacific Islander,Colorado,Most/Moderately Effective,124734,58952,38.67
